row_idx,województwo,powiat,gmina,typ gminy,TERYT,rok_raportu,status,ext_dokumentu,zawartosc,url,metoda_pozyskania,hash dokumentu,status komunikatu,dt_utc_finalne,failure_reason,file_size_MB,existed
16727,śląskie,będziński,Psary,gmina wiejska,2401062,2023,nowy,,,,,,,,,,
16728,śląskie,będziński,Psary,gmina wiejska,2401062,2024,nowy,,,,,,,,,,
16729,śląskie,będziński,Psary,gmina wiejska,2401062,2025,nowy,,,,,,,,,,
16730,śląskie,będziński,Siewierz,gmina miejsko-wiejska,2401073,2018,nowy,,,,,,,,,,
16731,śląskie,będziński,Siewierz,gmina miejsko-wiejska,2401073,2019,nowy,,,,,,,,,,
16732,śląskie,będziński,Siewierz,gmina miejsko-wiejska,2401073,2020,nowy,,,,,,,,,,
16733,śląskie,będziński,Siewierz,gmina miejsko-wiejska,2401073,2021,nowy,,,,,,,,,,
16734,śląskie,będziński,Siewierz,gmina miejsko-wiejska,2401073,2022,nowy,,,,,,,,,,
16735,śląskie,będziński,Siewierz,gmina miejsko-wiejska,2401073,2023,nowy,,,,,,,,,,
16736,śląskie,będziński,Siewierz,gmina miejsko-wiejska,2401073,2024,nowy,,,,,,,,,,
16737,śląskie,będziński,Siewierz,gmina miejsko-wiejska,2401073,2025,nowy,,,,,,,,,,
16738,śląskie,będziński,Sławków,gmina miejska,2401081,2018,nowy,,,,,,,,,,
16739,śląskie,będziński,Sławków,gmina miejska,2401081,2019,nowy,,,,,,,,,,
16740,śląskie,będziński,Sławków,gmina miejska,2401081,2020,nowy,,,,,,,,,,
16741,śląskie,będziński,Sławków,gmina miejska,2401081,2021,nowy,,,,,,,,,,
16742,śląskie,będziński,Sławków,gmina miejska,2401081,2022,nowy,,,,,,,,,,
16743,śląskie,będziński,Sławków,gmina miejska,2401081,2023,nowy,,,,,,,,,,
16744,śląskie,będziński,Sławków,gmina miejska,2401081,2024,nowy,,,,,,,,,,
16745,śląskie,będziński,Sławków,gmina miejska,2401081,2025,nowy,,,,,,,,,,
16746,śląskie,bielski,-,-,2402,2018,nowy,,,,,,,,,,
16747,śląskie,bielski,-,-,2402,2019,nowy,,,,,,,,,,
16748,śląskie,bielski,-,-,2402,2020,nowy,,,,,,,,,,
16749,śląskie,bielski,-,-,2402,2021,nowy,,,,,,,,,,
16750,śląskie,bielski,-,-,2402,2022,nowy,,,,,,,,,,
16751,śląskie,bielski,-,-,2402,2023,nowy,,,,,,,,,,
16752,śląskie,bielski,-,-,2402,2024,nowy,,,,,,,,,,
16753,śląskie,bielski,-,-,2402,2025,nowy,,,,,,,,,,
16754,śląskie,bielski,Szczyrk,gmina miejska,2402011,2018,nowy,,,,,,,,,,
16755,śląskie,bielski,Szczyrk,gmina miejska,2402011,2019,nowy,,,,,,,,,,
16756,śląskie,bielski,Szczyrk,gmina miejska,2402011,2020,nowy,,,,,,,,,,
16757,śląskie,bielski,Szczyrk,gmina miejska,2402011,2021,nowy,,,,,,,,,,
16758,śląskie,bielski,Szczyrk,gmina miejska,2402011,2022,nowy,,,,,,,,,,
16759,śląskie,bielski,Szczyrk,gmina miejska,2402011,2023,nowy,,,,,,,,,,
16760,śląskie,bielski,Szczyrk,gmina miejska,2402011,2024,nowy,,,,,,,,,,
16761,śląskie,bielski,Szczyrk,gmina miejska,2402011,2025,nowy,,,,,,,,,,
16762,śląskie,bielski,Bestwina,gmina wiejska,2402022,2018,nowy,,,,,,,,,,
16763,śląskie,bielski,Bestwina,gmina wiejska,2402022,2019,nowy,,,,,,,,,,
16764,śląskie,bielski,Bestwina,gmina wiejska,2402022,2020,nowy,,,,,,,,,,
16765,śląskie,bielski,Bestwina,gmina wiejska,2402022,2021,nowy,,,,,,,,,,
16766,śląskie,bielski,Bestwina,gmina wiejska,2402022,2022,nowy,,,,,,,,,,
16767,śląskie,bielski,Bestwina,gmina wiejska,2402022,2023,nowy,,,,,,,,,,
16768,śląskie,bielski,Bestwina,gmina wiejska,2402022,2024,nowy,,,,,,,,,,
16769,śląskie,bielski,Bestwina,gmina wiejska,2402022,2025,nowy,,,,,,,,,,
16770,śląskie,bielski,Buczkowice,gmina wiejska,2402032,2018,nowy,,,,,,,,,,
16771,śląskie,bielski,Buczkowice,gmina wiejska,2402032,2019,nowy,,,,,,,,,,
16772,śląskie,bielski,Buczkowice,gmina wiejska,2402032,2020,nowy,,,,,,,,,,
16773,śląskie,bielski,Buczkowice,gmina wiejska,2402032,2021,nowy,,,,,,,,,,
16774,śląskie,bielski,Buczkowice,gmina wiejska,2402032,2022,nowy,,,,,,,,,,
16775,śląskie,bielski,Buczkowice,gmina wiejska,2402032,2023,nowy,,,,,,,,,,
16776,śląskie,bielski,Buczkowice,gmina wiejska,2402032,2024,nowy,,,,,,,,,,
16777,śląskie,bielski,Buczkowice,gmina wiejska,2402032,2025,nowy,,,,,,,,,,
16778,śląskie,bielski,Czechowice-Dziedzice,gmina miejsko-wiejska,2402043,2018,nowy,,,,,,,,,,
16779,śląskie,bielski,Czechowice-Dziedzice,gmina miejsko-wiejska,2402043,2019,nowy,,,,,,,,,,
16780,śląskie,bielski,Czechowice-Dziedzice,gmina miejsko-wiejska,2402043,2020,nowy,,,,,,,,,,
16781,śląskie,bielski,Czechowice-Dziedzice,gmina miejsko-wiejska,2402043,2021,nowy,,,,,,,,,,
16782,śląskie,bielski,Czechowice-Dziedzice,gmina miejsko-wiejska,2402043,2022,nowy,,,,,,,,,,
16783,śląskie,bielski,Czechowice-Dziedzice,gmina miejsko-wiejska,2402043,2023,nowy,,,,,,,,,,
16784,śląskie,bielski,Czechowice-Dziedzice,gmina miejsko-wiejska,2402043,2024,nowy,,,,,,,,,,
16785,śląskie,bielski,Czechowice-Dziedzice,gmina miejsko-wiejska,2402043,2025,nowy,,,,,,,,,,
16786,śląskie,bielski,Jasienica,gmina wiejska,2402052,2018,nowy,,,,,,,,,,
16787,śląskie,bielski,Jasienica,gmina wiejska,2402052,2019,nowy,,,,,,,,,,
16788,śląskie,bielski,Jasienica,gmina wiejska,2402052,2020,nowy,,,,,,,,,,
16789,śląskie,bielski,Jasienica,gmina wiejska,2402052,2021,nowy,,,,,,,,,,
16790,śląskie,bielski,Jasienica,gmina wiejska,2402052,2022,nowy,,,,,,,,,,
16791,śląskie,bielski,Jasienica,gmina wiejska,2402052,2023,nowy,,,,,,,,,,
16792,śląskie,bielski,Jasienica,gmina wiejska,2402052,2024,nowy,,,,,,,,,,
16793,śląskie,bielski,Jasienica,gmina wiejska,2402052,2025,nowy,,,,,,,,,,
16794,śląskie,bielski,Jaworze,gmina wiejska,2402062,2018,nowy,,,,,,,,,,
16795,śląskie,bielski,Jaworze,gmina wiejska,2402062,2019,nowy,,,,,,,,,,
16796,śląskie,bielski,Jaworze,gmina wiejska,2402062,2020,nowy,,,,,,,,,,
16797,śląskie,bielski,Jaworze,gmina wiejska,2402062,2021,nowy,,,,,,,,,,
16798,śląskie,bielski,Jaworze,gmina wiejska,2402062,2022,nowy,,,,,,,,,,
16799,śląskie,bielski,Jaworze,gmina wiejska,2402062,2023,nowy,,,,,,,,,,
