row_idx,województwo,powiat,gmina,typ gminy,TERYT,rok_raportu,status,ext_dokumentu,zawartosc,url,metoda_pozyskania,hash dokumentu,status komunikatu,dt_utc_finalne,failure_reason,file_size_MB,existed
15570,pomorskie,bytowski,Miastko,gmina miejsko-wiejska,2201063,2018,nowy,,,,,,,,,,
15571,pomorskie,bytowski,Miastko,gmina miejsko-wiejska,2201063,2019,nowy,,,,,,,,,,
15572,pomorskie,bytowski,Miastko,gmina miejsko-wiejska,2201063,2020,nowy,,,,,,,,,,
15573,pomorskie,bytowski,Miastko,gmina miejsko-wiejska,2201063,2021,nowy,,,,,,,,,,
15574,pomorskie,bytowski,Miastko,gmina miejsko-wiejska,2201063,2022,nowy,,,,,,,,,,
15575,pomorskie,bytowski,Miastko,gmina miejsko-wiejska,2201063,2023,nowy,,,,,,,,,,
15576,pomorskie,bytowski,Miastko,gmina miejsko-wiejska,2201063,2024,nowy,,,,,,,,,,
15577,pomorskie,bytowski,Miastko,gmina miejsko-wiejska,2201063,2025,nowy,,,,,,,,,,
15578,pomorskie,bytowski,Parchowo,gmina wiejska,2201072,2018,nowy,,,,,,,,,,
15579,pomorskie,bytowski,Parchowo,gmina wiejska,2201072,2019,nowy,,,,,,,,,,
15580,pomorskie,bytowski,Parchowo,gmina wiejska,2201072,2020,nowy,,,,,,,,,,
15581,pomorskie,bytowski,Parchowo,gmina wiejska,2201072,2021,nowy,,,,,,,,,,
15582,pomorskie,bytowski,Parchowo,gmina wiejska,2201072,2022,nowy,,,,,,,,,,
15583,pomorskie,bytowski,Parchowo,gmina wiejska,2201072,2023,nowy,,,,,,,,,,
15584,pomorskie,bytowski,Parchowo,gmina wiejska,2201072,2024,nowy,,,,,,,,,,
15585,pomorskie,bytowski,Parchowo,gmina wiejska,2201072,2025,nowy,,,,,,,,,,
15586,pomorskie,bytowski,Studzienice,gmina wiejska,2201082,2018,nowy,,,,,,,,,,
15587,pomorskie,bytowski,Studzienice,gmina wiejska,2201082,2019,nowy,,,,,,,,,,
15588,pomorskie,bytowski,Studzienice,gmina wiejska,2201082,2020,nowy,,,,,,,,,,
15589,pomorskie,bytowski,Studzienice,gmina wiejska,2201082,2021,nowy,,,,,,,,,,
15590,pomorskie,bytowski,Studzienice,gmina wiejska,2201082,2022,nowy,,,,,,,,,,
15591,pomorskie,bytowski,Studzienice,gmina wiejska,2201082,2023,nowy,,,,,,,,,,
15592,pomorskie,bytowski,Studzienice,gmina wiejska,2201082,2024,nowy,,,,,,,,,,
15593,pomorskie,bytowski,Studzienice,gmina wiejska,2201082,2025,nowy,,,,,,,,,,
15594,pomorskie,bytowski,Trzebielino,gmina wiejska,2201092,2018,nowy,,,,,,,,,,
15595,pomorskie,bytowski,Trzebielino,gmina wiejska,2201092,2019,nowy,,,,,,,,,,
15596,pomorskie,bytowski,Trzebielino,gmina wiejska,2201092,2020,nowy,,,,,,,,,,
15597,pomorskie,bytowski,Trzebielino,gmina wiejska,2201092,2021,nowy,,,,,,,,,,
15598,pomorskie,bytowski,Trzebielino,gmina wiejska,2201092,2022,nowy,,,,,,,,,,
15599,pomorskie,bytowski,Trzebielino,gmina wiejska,2201092,2023,nowy,,,,,,,,,,
15600,pomorskie,bytowski,Trzebielino,gmina wiejska,2201092,2024,nowy,,,,,,,,,,
15601,pomorskie,bytowski,Trzebielino,gmina wiejska,2201092,2025,nowy,,,,,,,,,,
15602,pomorskie,bytowski,Tuchomie,gmina wiejska,2201102,2018,nowy,,,,,,,,,,
15603,pomorskie,bytowski,Tuchomie,gmina wiejska,2201102,2019,nowy,,,,,,,,,,
15604,pomorskie,bytowski,Tuchomie,gmina wiejska,2201102,2020,nowy,,,,,,,,,,
15605,pomorskie,bytowski,Tuchomie,gmina wiejska,2201102,2021,nowy,,,,,,,,,,
15606,pomorskie,bytowski,Tuchomie,gmina wiejska,2201102,2022,nowy,,,,,,,,,,
15607,pomorskie,bytowski,Tuchomie,gmina wiejska,2201102,2023,nowy,,,,,,,,,,
15608,pomorskie,bytowski,Tuchomie,gmina wiejska,2201102,2024,nowy,,,,,,,,,,
15609,pomorskie,bytowski,Tuchomie,gmina wiejska,2201102,2025,nowy,,,,,,,,,,
15610,pomorskie,chojnicki,-,-,2202,2018,nowy,,,,,,,,,,
15611,pomorskie,chojnicki,-,-,2202,2019,nowy,,,,,,,,,,
15612,pomorskie,chojnicki,-,-,2202,2020,nowy,,,,,,,,,,
15613,pomorskie,chojnicki,-,-,2202,2021,nowy,,,,,,,,,,
15614,pomorskie,chojnicki,-,-,2202,2022,nowy,,,,,,,,,,
15615,pomorskie,chojnicki,-,-,2202,2023,nowy,,,,,,,,,,
15616,pomorskie,chojnicki,-,-,2202,2024,nowy,,,,,,,,,,
15617,pomorskie,chojnicki,-,-,2202,2025,nowy,,,,,,,,,,
15618,pomorskie,chojnicki,Chojnice,gmina miejska,2202011,2018,nowy,,,,,,,,,,
15619,pomorskie,chojnicki,Chojnice,gmina miejska,2202011,2019,nowy,,,,,,,,,,
15620,pomorskie,chojnicki,Chojnice,gmina miejska,2202011,2020,nowy,,,,,,,,,,
